Type,SKU,Name,Published,Visibility in catalog,Description,Sale price,Regular price,Categories,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default
variation,RING-00051-White Gold-Natural-14 Kt,Sydney Perfect Fit Diamond 2mm Engagement Ring,1,visible,,16420.6,21340.19069495086,,https://image.brilliantearth.com/media/diamond_ring_vto/9I/BE1D887_white_Oval_top_2_carat.png,RING-00051,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,White Gold,1,1,
variation,RING-00051-Rose Gold-Lab Grown-14 Kt,Sydney Perfect Fit Diamond 2mm Engagement Ring,1,visible,,788.2,933.5963764653518,,https://image.brilliantearth.com/media/diamond_ring_vto/LA/BE1D887_rose_Oval_top_2_carat.png,RING-00051,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,Rose Gold,1,1,
variation,RING-00051-Rose Gold-Natural-14 Kt,Sydney Perfect Fit Diamond 2mm Engagement Ring,1,visible,,16420.6,21126.633541016687,,https://image.brilliantearth.com/media/diamond_ring_vto/LA/BE1D887_rose_Oval_top_2_carat.png,RING-00051,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,Rose Gold,1,1,
variation,RING-00051-Yellow Gold-Lab Grown-18 Kt,Sydney Perfect Fit Diamond 2mm Engagement Ring,1,visible,,855.4,1122.807905731548,,https://image.brilliantearth.com/media/diamond_ring_vto/PF/BE1D887_yellow_Oval_top_2_carat.png,RING-00051,Composition,18 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,Yellow Gold,1,1,
variation,RING-00051-Yellow Gold-Natural-18 Kt,Sydney Perfect Fit Diamond 2mm Engagement Ring,1,visible,,16487.8,20819.10869559439,,https://image.brilliantearth.com/media/diamond_ring_vto/PF/BE1D887_yellow_Oval_top_2_carat.png,RING-00051,Composition,18 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,Yellow Gold,1,1,
variation,RING-00051-White Gold-Lab Grown-18 Kt,Sydney Perfect Fit Diamond 2mm Engagement Ring,1,visible,,855.4,1132.170889834479,,https://image.brilliantearth.com/media/diamond_ring_vto/9I/BE1D887_white_Oval_top_2_carat.png,RING-00051,Composition,18 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,White Gold,1,1,
variation,RING-00051-White Gold-Natural-18 Kt,Sydney Perfect Fit Diamond 2mm Engagement Ring,1,visible,,16487.8,20004.83677548844,,https://image.brilliantearth.com/media/diamond_ring_vto/9I/BE1D887_white_Oval_top_2_carat.png,RING-00051,Composition,18 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,White Gold,1,1,
variation,RING-00051-Rose Gold-Lab Grown-18 Kt,Sydney Perfect Fit Diamond 2mm Engagement Ring,1,visible,,855.4,1148.6187813138204,,https://image.brilliantearth.com/media/diamond_ring_vto/LA/BE1D887_rose_Oval_top_2_carat.png,RING-00051,Composition,18 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,Rose Gold,1,1,
variation,RING-00051-Rose Gold-Natural-18 Kt,Sydney Perfect Fit Diamond 2mm Engagement Ring,1,visible,,16487.8,20625.7972175032,,https://image.brilliantearth.com/media/diamond_ring_vto/LA/BE1D887_rose_Oval_top_2_carat.png,RING-00051,Composition,18 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,Rose Gold,1,1,
variable,RING-00052,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,"
            <p>An elegant shank is adorned with diamonds while an integrated head allows other bands to sit perfectly flush.</p>
            <table>
                <tr>
                    <th colspan=2>Ring Details</th>
                </tr>
                <tr>
                    <th>Product Name:</th>
                    <td>Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring</td>
                </tr>
                <tr>
                    <th>SKU:</th>
                    <td>RING-00052</td>
                </tr>
                <tr>
                    <th>Width:</th>
                    <td>1.4 mm mm</td>
                </tr>
                <tr>
                    <th>Available sizes:</th>
                    <td>4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5</td>
                </tr>
                <tr>
                    <th>Gold Weight:</th>
                    <td>&asymp; 3.7 gm.</td>
                </tr>
                <tr>
                    <th>Available Gold Type:</th>
                    <td>Yellow Gold, Rose Gold, White Gold</td>
                </tr>
                <tr>
                    <th>Available Gold Composition:</th>
                    <td>10K, 14K, 18K</td>
                </tr>
                <tr>
                    <th>Diamond Type:</th>
                    <td>Natural, Lab Grown</td>
                </tr>
                <tr>
                    <th>Gemstone Shape:</th>
                    <td>Oval</td>
                </tr>
                <tr>
                    <th>Gemstone Setting:</th>
                    <td>Claw Prong</td>
                </tr>
                <tr>
                    <th>Gemstone Carat Weight:</th>
                    <td>2.0 Ct.</td>
                </tr>
                <tr>
                    <th>Accent Gemstones (Side Diamond):</th>
                    <td>
                        <pre>Type : Natural or lab diamond, depending on selected center diamond<br />Shape : Round<br />Number : 36<br />Min .carat total weight .: 0.19<br />Setting : Scalloped Pavé<br />Average color : F/G<br />Average clarity : SI1</pre>
                    </td>
                </tr>
            </table>
            ",,,Rings,"https://image.brilliantearth.com/media/diamond_ring_vto/WV/BE1D1620_rose_Oval_top_2_carat.png,https://image.brilliantearth.com/media/carat_image/0B/BE1D1620_OV_200ct_rose_side1.jpg,https://image.brilliantearth.com/media/carat_image/95/BE1D1620_OV_200ct_rose_side2.jpg,https://image.brilliantearth.com/media/diamond_ring_vto/5U/BE1D1620_white_Oval_top_2_carat.png,https://image.brilliantearth.com/media/carat_image/8C/BE1D1620_OV_200ct_white_side1.jpg,https://image.brilliantearth.com/media/carat_image/91/BE1D1620_OV_200ct_white_side2.jpg,https://image.brilliantearth.com/media/diamond_ring_vto/QG/BE1D1620_yellow_Oval_top_2_carat.png,https://image.brilliantearth.com/media/carat_image/5A/BE1D1620_OV_200ct_yellow_side1.jpg,https://image.brilliantearth.com/media/carat_image/01/BE1D1620_OV_200ct_yellow_side2.jpg",,Composition,"10 Kt, 14 Kt, 18 Kt",1,1,10 Kt,Ring Size,"4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5",1,1,4.0,Diamond Type,"Lab Grown, Natural",1,1,Lab Grown,Color,"Rose Gold, White Gold, Yellow Gold",1,1,Rose Gold
variation,RING-00052-Yellow Gold-Lab Grown-10 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,704.6,798.8219472927348,,https://image.brilliantearth.com/media/diamond_ring_vto/QG/BE1D1620_yellow_Oval_top_2_carat.png,RING-00052,Composition,10 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,Yellow Gold,1,1,
variation,RING-00052-Yellow Gold-Natural-10 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,16407.2,19103.165956727957,,https://image.brilliantearth.com/media/diamond_ring_vto/QG/BE1D1620_yellow_Oval_top_2_carat.png,RING-00052,Composition,10 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,Yellow Gold,1,1,
variation,RING-00052-White Gold-Lab Grown-10 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,704.6,839.8513674815932,,https://image.brilliantearth.com/media/diamond_ring_vto/5U/BE1D1620_white_Oval_top_2_carat.png,RING-00052,Composition,10 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,White Gold,1,1,
variation,RING-00052-White Gold-Natural-10 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,16407.2,21948.89635670748,,https://image.brilliantearth.com/media/diamond_ring_vto/5U/BE1D1620_white_Oval_top_2_carat.png,RING-00052,Composition,10 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,White Gold,1,1,
variation,RING-00052-Rose Gold-Lab Grown-10 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,704.6,848.7413748436275,,https://image.brilliantearth.com/media/diamond_ring_vto/WV/BE1D1620_rose_Oval_top_2_carat.png,RING-00052,Composition,10 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,Rose Gold,1,1,
variation,RING-00052-Rose Gold-Natural-10 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,16407.2,20477.65697057841,,https://image.brilliantearth.com/media/diamond_ring_vto/WV/BE1D1620_rose_Oval_top_2_carat.png,RING-00052,Composition,10 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,Rose Gold,1,1,
variation,RING-00052-Yellow Gold-Lab Grown-14 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,774.9000000000001,944.3448205553684,,https://image.brilliantearth.com/media/diamond_ring_vto/QG/BE1D1620_yellow_Oval_top_2_carat.png,RING-00052,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,Yellow Gold,1,1,
variation,RING-00052-Yellow Gold-Natural-14 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,16477.5,21356.562314702904,,https://image.brilliantearth.com/media/diamond_ring_vto/QG/BE1D1620_yellow_Oval_top_2_carat.png,RING-00052,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,Yellow Gold,1,1,
variation,RING-00052-White Gold-Lab Grown-14 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,774.9000000000001,953.6919462800377,,https://image.brilliantearth.com/media/diamond_ring_vto/5U/BE1D1620_white_Oval_top_2_carat.png,RING-00052,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,White Gold,1,1,
variation,RING-00052-White Gold-Natural-14 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,16477.5,19133.494986584297,,https://image.brilliantearth.com/media/diamond_ring_vto/5U/BE1D1620_white_Oval_top_2_carat.png,RING-00052,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,White Gold,1,1,
variation,RING-00052-Rose Gold-Lab Grown-14 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,774.9000000000001,1013.005929843516,,https://image.brilliantearth.com/media/diamond_ring_vto/WV/BE1D1620_rose_Oval_top_2_carat.png,RING-00052,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,Rose Gold,1,1,
variation,RING-00052-Rose Gold-Natural-14 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,16477.5,19480.50703036347,,https://image.brilliantearth.com/media/diamond_ring_vto/WV/BE1D1620_rose_Oval_top_2_carat.png,RING-00052,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,Rose Gold,1,1,
variation,RING-00052-Yellow Gold-Lab Grown-18 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,834.1,1121.1176954302584,,https://image.brilliantearth.com/media/diamond_ring_vto/QG/BE1D1620_yellow_Oval_top_2_carat.png,RING-00052,Composition,18 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,Yellow Gold,1,1,
variation,RING-00052-Yellow Gold-Natural-18 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,16536.7,21123.230742732547,,https://image.brilliantearth.com/media/diamond_ring_vto/QG/BE1D1620_yellow_Oval_top_2_carat.png,RING-00052,Composition,18 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,Yellow Gold,1,1,
variation,RING-00052-White Gold-Lab Grown-18 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,834.1,1103.7523935659226,,https://image.brilliantearth.com/media/diamond_ring_vto/5U/BE1D1620_white_Oval_top_2_carat.png,RING-00052,Composition,18 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,White Gold,1,1,
variation,RING-00052-White Gold-Natural-18 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,16536.7,18584.43700670744,,https://image.brilliantearth.com/media/diamond_ring_vto/5U/BE1D1620_white_Oval_top_2_carat.png,RING-00052,Composition,18 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,White Gold,1,1,
variation,RING-00052-Rose Gold-Lab Grown-18 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,834.1,1080.3962119083892,,https://image.brilliantearth.com/media/diamond_ring_vto/WV/BE1D1620_rose_Oval_top_2_carat.png,RING-00052,Composition,18 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,Rose Gold,1,1,
variation,RING-00052-Rose Gold-Natural-18 Kt,Perfect Fit Half-Coverage Hidden Halo Diamond Engagement Ring,1,visible,,16536.7,21857.926708518327,,https://image.brilliantearth.com/media/diamond_ring_vto/WV/BE1D1620_rose_Oval_top_2_carat.png,RING-00052,Composition,18 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,Rose Gold,1,1,
variable,RING-00053,Adorned Opera Three Stone Diamond Engagement Ring,1,visible,"
            <p>Captivating pear-shaped diamonds brilliantly frame the center gem in this classic three stone ring with surprise hidden accents along the gallery wire.</p>
            <table>
                <tr>
                    <th colspan=2>Ring Details</th>
                </tr>
                <tr>
                    <th>Product Name:</th>
                    <td>Adorned Opera Three Stone Diamond Engagement Ring</td>
                </tr>
                <tr>
                    <th>SKU:</th>
                    <td>RING-00053</td>
                </tr>
                <tr>
                    <th>Width:</th>
                    <td>1.8 mm mm</td>
                </tr>
                <tr>
                    <th>Available sizes:</th>
                    <td>4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5</td>
                </tr>
                <tr>
                    <th>Gold Weight:</th>
                    <td>&asymp; 4.5 gm.</td>
                </tr>
                <tr>
                    <th>Available Gold Type:</th>
                    <td>Yellow Gold, Rose Gold, White Gold</td>
                </tr>
                <tr>
                    <th>Available Gold Composition:</th>
                    <td>10K, 14K, 18K</td>
                </tr>
                <tr>
                    <th>Diamond Type:</th>
                    <td>Natural, Lab Grown</td>
                </tr>
                <tr>
                    <th>Gemstone Shape:</th>
                    <td>Oval</td>
                </tr>
                <tr>
                    <th>Gemstone Setting:</th>
                    <td>Claw Prong Basket</td>
                </tr>
                <tr>
                    <th>Gemstone Carat Weight:</th>
                    <td>2.0 Ct.</td>
                </tr>
                <tr>
                    <th>Accent Gemstones (Side Diamond):</th>
                    <td>
                        <pre>Type : Natural or lab diamond, depending on selected center diamond<br />Shape : Pear<br />Number : 2<br />Min .carat total weight .: 0.37<br />Setting : 3 Prong Basket<br />Average color : F/G<br />Average clarity : SI<br />Type : Natural or lab diamond, depending on selected center diamond<br />Shape : Round<br />Number : 32<br />Min .carat total weight .: 0.10<br />Setting : Scalloped Pavé<br />Average color : F/G<br />Average clarity : SI</pre>
                    </td>
                </tr>
            </table>
            ",,,Rings,"https://image.brilliantearth.com/media/diamond_ring_vto/VQ/BE1D322_rose_Oval_top_2_carat.png,https://image.brilliantearth.com/media/carat_image/3F/BE1D322_OV_200ct_rose_side1.jpg,https://image.brilliantearth.com/media/carat_image/B5/BE1D322_OV_200ct_rose_side2.jpg,https://image.brilliantearth.com/media/diamond_ring_vto/YX/BE1D322_yellow_Oval_top_2_carat.png,https://image.brilliantearth.com/media/carat_image/07/BE1D322_OV_200ct_yellow_side1.jpg,https://image.brilliantearth.com/media/carat_image/30/BE1D322_OV_200ct_yellow_side2.jpg,https://image.brilliantearth.com/media/diamond_ring_vto/HF/BE1D322_white_Oval_top_2_carat.png,https://image.brilliantearth.com/media/carat_image/D2/BE1D322_OV_200ct_white_side1.jpg,https://image.brilliantearth.com/media/carat_image/EF/BE1D322_OV_200ct_white_side2.jpg",,Composition,"10 Kt, 14 Kt, 18 Kt",1,1,10 Kt,Ring Size,"4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5",1,1,4.0,Diamond Type,"Lab Grown, Natural",1,1,Lab Grown,Color,"Rose Gold, White Gold, Yellow Gold",1,1,Rose Gold
variation,RING-00053-Yellow Gold-Lab Grown-10 Kt,Adorned Opera Three Stone Diamond Engagement Ring,1,visible,,916.6,1161.6979413340914,,https://image.brilliantearth.com/media/diamond_ring_vto/YX/BE1D322_yellow_Oval_top_2_carat.png,RING-00053,Composition,10 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,Yellow Gold,1,1,
variation,RING-00053-Yellow Gold-Natural-10 Kt,Adorned Opera Three Stone Diamond Engagement Ring,1,visible,,16925.8,20773.822953236075,,https://image.brilliantearth.com/media/diamond_ring_vto/YX/BE1D322_yellow_Oval_top_2_carat.png,RING-00053,Composition,10 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,Yellow Gold,1,1,
variation,RING-00053-White Gold-Lab Grown-10 Kt,Adorned Opera Three Stone Diamond Engagement Ring,1,visible,,916.6,1206.884225838515,,https://image.brilliantearth.com/media/diamond_ring_vto/HF/BE1D322_white_Oval_top_2_carat.png,RING-00053,Composition,10 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,White Gold,1,1,
variation,RING-00053-White Gold-Natural-10 Kt,Adorned Opera Three Stone Diamond Engagement Ring,1,visible,,16925.8,22363.480482870465,,https://image.brilliantearth.com/media/diamond_ring_vto/HF/BE1D322_white_Oval_top_2_carat.png,RING-00053,Composition,10 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,White Gold,1,1,
variation,RING-00053-Rose Gold-Lab Grown-10 Kt,Adorned Opera Three Stone Diamond Engagement Ring,1,visible,,916.6,1152.4321518729323,,https://image.brilliantearth.com/media/diamond_ring_vto/VQ/BE1D322_rose_Oval_top_2_carat.png,RING-00053,Composition,10 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,Rose Gold,1,1,
variation,RING-00053-Rose Gold-Natural-10 Kt,Adorned Opera Three Stone Diamond Engagement Ring,1,visible,,16925.8,19158.596341275337,,https://image.brilliantearth.com/media/diamond_ring_vto/VQ/BE1D322_rose_Oval_top_2_carat.png,RING-00053,Composition,10 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,Rose Gold,1,1,
variation,RING-00053-Yellow Gold-Lab Grown-14 Kt,Adorned Opera Three Stone Diamond Engagement Ring,1,visible,,1002.1,1144.2525780445892,,https://image.brilliantearth.com/media/diamond_ring_vto/YX/BE1D322_yellow_Oval_top_2_carat.png,RING-00053,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,Yellow Gold,1,1,
variation,RING-00053-Yellow Gold-Natural-14 Kt,Adorned Opera Three Stone Diamond Engagement Ring,1,visible,,17011.3,21083.66599496493,,https://image.brilliantearth.com/media/diamond_ring_vto/YX/BE1D322_yellow_Oval_top_2_carat.png,RING-00053,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,Yellow Gold,1,1,
variation,RING-00053-White Gold-Lab Grown-14 Kt,Adorned Opera Three Stone Diamond Engagement Ring,1,visible,,1002.1,1251.6922383289211,,https://image.brilliantearth.com/media/diamond_ring_vto/HF/BE1D322_white_Oval_top_2_carat.png,RING-00053,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,White Gold,1,1,
variation,RING-00053-White Gold-Natural-14 Kt,Adorned Opera Three Stone Diamond Engagement Ring,1,visible,,17011.3,20402.192007905363,,https://image.brilliantearth.com/media/diamond_ring_vto/HF/BE1D322_white_Oval_top_2_carat.png,RING-00053,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Natural,1,1,,Color,White Gold,1,1,
variation,RING-00053-Rose Gold-Lab Grown-14 Kt,Adorned Opera Three Stone Diamond Engagement Ring,1,visible,,1002.1,1123.7892888295917,,https://image.brilliantearth.com/media/diamond_ring_vto/VQ/BE1D322_rose_Oval_top_2_carat.png,RING-00053,Composition,14 Kt,1,1,,Ring Size,,1,1,,Diamond Type,Lab Grown,1,1,,Color,Rose Gold,1,1,
